symbol,total_trades,win_rate,total_return,avg_return_per_trade
2330,70,0.5000,0.2015,0.0029
2454,70,0.4429,-0.1941,-0.0028
2317,75,0.4000,-0.2542,-0.0034
2881,65,0.4308,-0.0501,-0.0008
2382,58,0.5690,-0.0578,-0.0010
2886,59,0.5593,0.2288,0.0039
0050,67,0.5075,0.0828,0.0012
0056,63,0.4603,-0.0031,-0.0000
00646,45,0.5333,0.1373,0.0031
006208,68,0.5000,0.0293,0.0004
00878,55,0.4727,0.0151,0.0003
