symbol,total_trades,win_rate,total_return,avg_return_per_trade
2330,24,0.5833,0.2213,0.0092
2454,32,0.5312,0.1075,0.0034
2317,26,0.5000,0.1123,0.0043
2881,30,0.4667,-0.0152,-0.0005
2382,33,0.5455,0.0327,0.0010
2886,42,0.4286,-0.0838,-0.0020
0050,26,0.3462,-0.0262,-0.0010
0056,24,0.6667,0.0914,0.0038
00646,26,0.4231,-0.1658,-0.0064
006208,26,0.5000,0.0040,0.0002
00878,28,0.6071,0.0695,0.0025
