symbol,total_trades,win_rate,total_return,avg_return_per_trade
2330,49,0.4898,0.2561,0.0052
2454,50,0.4800,0.0113,0.0002
2317,57,0.3684,0.0413,0.0007
2881,57,0.4386,-0.1175,-0.0021
2382,56,0.5179,-0.0068,-0.0001
2886,59,0.4915,-0.0282,-0.0005
0050,55,0.4000,-0.0601,-0.0011
0056,46,0.6304,0.1414,0.0031
00646,46,0.5000,-0.1581,-0.0034
006208,55,0.4545,0.0079,0.0001
00878,51,0.6078,0.1417,0.0028
