symbol,total_trades,win_rate,total_return,avg_return_per_trade
2330,39,0.4359,0.1227,0.0031
2454,41,0.5122,0.0228,0.0006
2317,42,0.4048,0.0711,0.0017
2881,45,0.4667,-0.0556,-0.0012
2382,41,0.5610,-0.0004,-0.0000
2886,49,0.4490,-0.0438,-0.0009
0050,45,0.4222,-0.0339,-0.0008
0056,37,0.6486,0.0845,0.0023
00646,36,0.4444,-0.1522,-0.0042
006208,45,0.4667,-0.0066,-0.0001
00878,39,0.6154,0.0951,0.0024
