fast,slow,atr,total_return,total_trades,win_rate,final_equity
7,10,0.0,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.001,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.002,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.003,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.005,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.008,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.01,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.015,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
7,10,0.02,0.7808089084226602,31,0.6129032258064516,1.7808089084226602
5,15,0.0,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.001,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.002,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.003,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.005,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.008,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.01,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.015,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
5,15,0.02,0.5555719528634684,19,0.3684210526315789,1.5555719528634684
19,20,0.0,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.001,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.002,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.003,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.005,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.008,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.01,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.015,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
19,20,0.02,0.5162148436667093,27,0.6296296296296297,1.5162148436667093
5,10,0.0,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.001,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.002,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.003,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.005,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.008,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.01,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.015,0.5082699755216731,30,0.5333333333333333,1.508269975521673
5,10,0.02,0.5082699755216731,30,0.5333333333333333,1.508269975521673
17,25,0.0,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.001,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.002,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.003,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.005,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.008,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.01,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.015,0.4974897346477911,12,0.75,1.4974897346477911
17,25,0.02,0.4974897346477911,12,0.75,1.4974897346477911
3,60,0.0,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.001,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.002,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.003,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.005,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.008,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.01,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.015,0.4346780445452809,6,0.5,1.434678044545281
3,60,0.02,0.4346780445452809,6,0.5,1.434678044545281
21,25,0.0,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
21,25,0.001,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
21,25,0.002,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
21,25,0.003,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
21,25,0.005,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
21,25,0.008,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
21,25,0.01,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
21,25,0.015,0.4060515589274867,13,0.6153846153846154,1.4060515589274867
